FID,id,navn,navnekategori,navnekategori_txt,wkb_geometry
"stednavn_punkt.fid--200d312a_166e1b25641_4028,7,Kvarterhuset,18147,""Medborger-, Kulturhus"",POINT (12.603936487981368 55.665203677828174)"
"stednavn_punkt.fid--200d312a_166e1b25641_4029,8,Kulturhuset Kapelvej,18147,""Medborger-, Kulturhus"",POINT (12.551302695460212 55.686545865333855)"
"stednavn_punkt.fid--200d312a_166e1b25641_402a,9,Kulturhuset Islands Brygge,18147,""Medborger-, Kulturhus"",POINT (12.576278352730036 55.666836827032874)"
"stednavn_punkt.fid--200d312a_166e1b25641_402b,10,Vesterbro Bibliotek og Kulturhus,18147,""Medborger-, Kulturhus"",POINT (12.543715195841289 55.66782679418936)"
"stednavn_punkt.fid--200d312a_166e1b25641_402c,11,Huset-KBH,18147,""Medborger-, Kulturhus"",POINT (12.575391045771307 55.67641847717647)"
"stednavn_punkt.fid--200d312a_166e1b25641_402d,12,VerdensKulturCentret,18147,""Medborger-, Kulturhus"",POINT (12.560564378798679 55.69153162939831)"
"stednavn_punkt.fid--200d312a_166e1b25641_402e,13,BIBLIOTEKET Rentemestervej,18147,""Medborger-, Kulturhus"",POINT (12.522916217324196 55.70841203177259)"
"stednavn_punkt.fid--200d312a_166e1b25641_402f,14,Prøvehallen,18147,""Medborger-, Kulturhus"",POINT (12.509886321875804 55.66460371015051)"
"stednavn_punkt.fid--200d312a_166e1b25641_4030,15,Kulturhuset Tomsgårdsvej,18147,""Medborger-, Kulturhus"",POINT (12.525315488458677 55.709058207547805)"
"stednavn_punkt.fid--200d312a_166e1b25641_4031,16,Karens Minde Kulturhus ,18147,""Medborger-, Kulturhus"",POINT (12.529608007873708 55.64678342318348)"
"stednavn_punkt.fid--200d312a_166e1b25641_4032,17,Kraftwerket,18147,""Medborger-, Kulturhus"",POINT (12.51855171695037 55.661435388507954)"
"stednavn_punkt.fid--200d312a_166e1b25641_4033,18,Børnekulturhuset Sokkelundlille ,18147,""Medborger-, Kulturhus"",POINT (12.516649678839181 55.70992860814933)"
"stednavn_punkt.fid--200d312a_166e1b25641_4034,19,Valby Kulturhus,18147,""Medborger-, Kulturhus"",POINT (12.518431031015561 55.660966522877196)"
"stednavn_punkt.fid--200d312a_166e1b25641_4035,20,Osramhuset,18147,""Medborger-, Kulturhus"",POINT (12.549520843419455 55.70296754452305)"
"stednavn_punkt.fid--200d312a_166e1b25641_4036,21,Amager Kulturpunkt,18147,""Medborger-, Kulturhus"",POINT (12.609358350951801 55.65794962093013)"
"stednavn_punkt.fid--200d312a_166e1b25641_4037,22,Havnekulturkontoret,18147,""Medborger-, Kulturhus"",POINT (12.592894557749773 55.707247377335065)"
"stednavn_punkt.fid--200d312a_166e1b25641_4038,23,Onkel Dannys Plads,18147,""Medborger-, Kulturhus"",POINT (12.561006414426359 55.66999390796001)"
"stednavn_punkt.fid--200d312a_166e1b25641_4039,24,Krudttønden,18147,""Medborger-, Kulturhus"",POINT (12.575089528495852 55.70520565869524)"
"stednavn_punkt.fid--200d312a_166e1b25641_403a,25,Dansekapellet,18147,""Medborger-, Kulturhus"",POINT (12.5301666118678 55.71624182668981)"
"stednavn_punkt.fid--200d312a_166e1b25641_403b,26,Børnekulturhus Amar',18147,""Medborger-, Kulturhus"",POINT (12.609796103755324 55.65782747851631)"
"stednavn_punkt.fid--200d312a_166e1b25641_403c,27,Kulturhuset Indre By ,18147,""Medborger-, Kulturhus"",POINT (12.563648387169117 55.68361060197746)"
"stednavn_punkt.fid--200d312a_166e1b25641_403d,28,Lygten Station,18147,""Medborger-, Kulturhus"",POINT (12.537701583947365 55.701582687172746)"
"stednavn_punkt.fid--200d312a_166e1b25641_403e,1,Thorvaldsens Museum,18148,""Museum, Udstilling"",POINT (12.57828311124926 55.676532830461234)"
"stednavn_punkt.fid--200d312a_166e1b25641_403f,2,Nikolaj Kunsthal,18148,""Museum, Udstilling"",POINT (12.581474418386874 55.678790927330944)"
"stednavn_punkt.fid--200d312a_166e1b25641_4040,3,Købehavns Stadsarkiv,18148,""Museum, Udstilling"",POINT (12.569577674965068 55.67562753235746)"
"stednavn_punkt.fid--200d312a_166e1b25641_4041,4,Københavns Museum,18148,""Museum, Udstilling"",POINT (12.572613979301401 55.67426478391609)"
stednavn_punkt.fid--200d312a_166e1b25641_4042,1,Sundby Bad,17237,Svømmehal/Bad,MULTIPOINT ((12.601908818398794 55.64645057655745))
stednavn_punkt.fid--200d312a_166e1b25641_4043,2,Helgoland Badeanstalt,17237,Svømmehal/Bad,MULTIPOINT ((12.64003338145373 55.663694179810506))
stednavn_punkt.fid--200d312a_166e1b25641_4044,3,Svanemøllestranden,17237,Svømmehal/Bad,MULTIPOINT ((12.58330530184618 55.72050044648887))
stednavn_punkt.fid--200d312a_166e1b25641_4045,4,Halfdansgade badezone,17237,Svømmehal/Bad,MULTIPOINT ((12.574515400565923 55.66621002718775))
stednavn_punkt.fid--200d312a_166e1b25641_4046,5,Bellahøj Svømmestadion,17237,Svømmehal/Bad,MULTIPOINT ((12.514314523455413 55.70604126223107))
stednavn_punkt.fid--200d312a_166e1b25641_4047,6,Bellahøj Friluftsbad,17237,Svømmehal/Bad,MULTIPOINT ((12.514314523455413 55.70604126223107))
stednavn_punkt.fid--200d312a_166e1b25641_4048,7,Bavnehøj Friluftsbad,17237,Svømmehal/Bad,MULTIPOINT ((12.5386058265266 55.65968582053321))
stednavn_punkt.fid--200d312a_166e1b25641_4049,8,Frankrigsgade Svømmehal,17237,Svømmehal/Bad,MULTIPOINT ((12.609794635865047 55.66289894297421))
stednavn_punkt.fid--200d312a_166e1b25641_404a,9,Havnebadet Fisketorvet,17237,Svømmehal/Bad,MULTIPOINT ((12.565402699902135 55.663461101827856))
stednavn_punkt.fid--200d312a_166e1b25641_404b,10,Havnebadet Islands Brygge,17237,Svømmehal/Bad,MULTIPOINT ((12.577869310677192 55.66860888257773))
stednavn_punkt.fid--200d312a_166e1b25641_404c,11,Havnebadet Sluseholmen,17237,Svømmehal/Bad,MULTIPOINT ((12.553926127573828 55.646364577541284))
stednavn_punkt.fid--200d312a_166e1b25641_404d,12,Amager Strandpark,17237,Svømmehal/Bad,MULTIPOINT ((12.64922257742978 55.65454851341293))
stednavn_punkt.fid--200d312a_166e1b25641_404e,13,Hillerødgade Bad og Hal,17237,Svømmehal/Bad,MULTIPOINT ((12.539571087023372 55.696709806374244))
stednavn_punkt.fid--200d312a_166e1b25641_404f,14,Tingbjerg Svømmehal,17237,Svømmehal/Bad,MULTIPOINT ((12.484466744519672 55.7190873971022))
stednavn_punkt.fid--200d312a_166e1b25641_4050,15,Vesterbro Svømmehal,17237,Svømmehal/Bad,MULTIPOINT ((12.538757375947688 55.664562258068536))
stednavn_punkt.fid--200d312a_166e1b25641_4051,16,Valby Vandkulturhus,17237,Svømmehal/Bad,MULTIPOINT ((12.515266883349383 55.64897591363164))
stednavn_punkt.fid--200d312a_166e1b25641_4052,17,Øbro-Hallen,17237,Svømmehal/Bad,MULTIPOINT ((12.576293022867121 55.70475643400615))
stednavn_punkt.fid--200d312a_166e1b25641_4053,18,Emdrup Bad,17237,Svømmehal/Bad,MULTIPOINT ((12.547187002484652 55.71834207367829))
stednavn_punkt.fid--200d312a_166e1b25641_4054,19,Badezone Sandkaj,17237,Svømmehal/Bad,MULTIPOINT ((12.596389027440798 55.706318651508184))
stednavn_punkt.fid--200d312a_166e1b25641_4055,20,Halvandet badezone,17237,Svømmehal/Bad,MULTIPOINT ((12.608987732014254 55.69508911557121))
stednavn_punkt.fid--200d312a_166e1b25641_4056,21,Havnevigen,17237,Svømmehal/Bad,MULTIPOINT ((12.565559283638908 55.65453110754235))
stednavn_punkt.fid--200d312a_166e1b25641_4057,1,Kastrup,19130,Station/Metro,MULTIPOINT ((12.646822177590394 55.635821860424315))
stednavn_punkt.fid--200d312a_166e1b25641_4058,2,Langgade,19130,Station/Metro,MULTIPOINT ((12.503985639108704 55.66718308046223))
stednavn_punkt.fid--200d312a_166e1b25641_4059,3,Peter Bangs Vej,19130,Station/Metro,MULTIPOINT ((12.503343020635267 55.67817189737545))
stednavn_punkt.fid--200d312a_166e1b25641_405a,4,KB Hallen,19130,Station/Metro,MULTIPOINT ((12.492160770691216 55.67791235316916))
stednavn_punkt.fid--200d312a_166e1b25641_405b,5,Vigerslev Allé,19130,Station/Metro,MULTIPOINT ((12.499082899528844 55.65973381653242))
stednavn_punkt.fid--200d312a_166e1b25641_405c,6,Flintholm,19130,Station/Metro,MULTIPOINT ((12.498358619148766 55.68532663348152))
stednavn_punkt.fid--200d312a_166e1b25641_405d,7,Forum,19130,Station/Metro,MULTIPOINT ((12.552502528319485 55.68183658102229))
stednavn_punkt.fid--200d312a_166e1b25641_405e,8,Frederiksberg,19130,Station/Metro,MULTIPOINT ((12.531254297000974 55.68124300422948))
stednavn_punkt.fid--200d312a_166e1b25641_405f,9,Fasanvej (Solbjerg),19130,Station/Metro,MULTIPOINT ((12.523531413011062 55.68161867111091))
stednavn_punkt.fid--200d312a_166e1b25641_4060,10,Lindevang,19130,Station/Metro,MULTIPOINT ((12.513337030500862 55.68339344818599))
stednavn_punkt.fid--200d312a_166e1b25641_4061,11,Flintholm,19130,Station/Metro,MULTIPOINT ((12.499646450888052 55.68592249094199))
stednavn_punkt.fid--200d312a_166e1b25641_4062,12,Vanløse,19130,Station/Metro,MULTIPOINT ((12.491907379014119 55.68728788320024))
stednavn_punkt.fid--200d312a_166e1b25641_4063,13,Valby,19130,Station/Metro,MULTIPOINT ((12.513951781588252 55.66380658705647))
stednavn_punkt.fid--200d312a_166e1b25641_4064,14,Hvidovre,19130,Station/Metro,MULTIPOINT ((12.47451627991452 55.66443747336565))
stednavn_punkt.fid--200d312a_166e1b25641_4065,15,Rødovre,19130,Station/Metro,MULTIPOINT ((12.459453513287263 55.664694113759886))
stednavn_punkt.fid--200d312a_166e1b25641_4066,16,Vanløse,19130,Station/Metro,MULTIPOINT ((12.490777163002031 55.687239555215825))
stednavn_punkt.fid--200d312a_166e1b25641_4067,17,Åmarken,19130,Station/Metro,MULTIPOINT ((12.499902223822332 55.63982705636668))
stednavn_punkt.fid--200d312a_166e1b25641_4068,18,Carlsberg,19130,Station/Metro,MULTIPOINT ((12.536625456326755 55.66337868584309))
stednavn_punkt.fid--200d312a_166e1b25641_4069,19,Femøren,19130,Station/Metro,MULTIPOINT ((12.638255680353023 55.64528535047976))
stednavn_punkt.fid--200d312a_166e1b25641_406a,20,Amager Strand,19130,Station/Metro,MULTIPOINT ((12.631889900698601 55.65606516201953))
stednavn_punkt.fid--200d312a_166e1b25641_406b,21,Øresund,19130,Station/Metro,MULTIPOINT ((12.628732675353522 55.66144562370018))
stednavn_punkt.fid--200d312a_166e1b25641_406c,22,Lergravsparken,19130,Station/Metro,MULTIPOINT ((12.617021454946313 55.66226966399527))
stednavn_punkt.fid--200d312a_166e1b25641_406d,23,Amagerbro,19130,Station/Metro,MULTIPOINT ((12.602894848018204 55.66338463587162))
stednavn_punkt.fid--200d312a_166e1b25641_406e,24,Christianshavn,19130,Station/Metro,MULTIPOINT ((12.591313426197745 55.67214199228414))
stednavn_punkt.fid--200d312a_166e1b25641_406f,25,Kongens Nytorv,19130,Station/Metro,MULTIPOINT ((12.58517767546056 55.67926647231415))
stednavn_punkt.fid--200d312a_166e1b25641_4070,26,Nørreport,19130,Station/Metro,MULTIPOINT ((12.571519041955515 55.68370839910746))
stednavn_punkt.fid--200d312a_166e1b25641_4071,27,Jyllingevej,19130,Station/Metro,MULTIPOINT ((12.477272540542272 55.690567117472895))
stednavn_punkt.fid--200d312a_166e1b25641_4072,28,Islands Brygge,19130,Station/Metro,MULTIPOINT ((12.585310049359089 55.66354758335726))
stednavn_punkt.fid--200d312a_166e1b25641_4073,29,DR Byen (Universitetet),19130,Station/Metro,MULTIPOINT ((12.588993504037028 55.6557657280437))
stednavn_punkt.fid--200d312a_166e1b25641_4074,30,Sundby,19130,Station/Metro,MULTIPOINT ((12.585743984257011 55.64520259271433))
stednavn_punkt.fid--200d312a_166e1b25641_4075,31,Bella Center,19130,Station/Metro,MULTIPOINT ((12.58291790188751 55.63808144159164))
stednavn_punkt.fid--200d312a_166e1b25641_4076,32,Ørestad,19130,Station/Metro,MULTIPOINT ((12.579242054680918 55.628714222686526))
stednavn_punkt.fid--200d312a_166e1b25641_4077,33,Vestamager,19130,Station/Metro,MULTIPOINT ((12.575573476907428 55.619363794531594))
